CMDLINE C:\Users\15360\anaconda3\envs\nanoGPT\python.exe Code_Analysis/gpt2sample.py
MEM 1365.097656 1745134544.0312
MEM 1365.097656 1745134544.1399
MEM 1365.097656 1745134544.2509
MEM 1365.097656 1745134544.3582
MEM 1365.097656 1745134544.4677
MEM 1365.097656 1745134544.5781
MEM 1365.097656 1745134544.6865
MEM 1365.097656 1745134544.7949
MEM 1365.097656 1745134544.9028
MEM 1365.097656 1745134545.0113
MEM 1365.097656 1745134545.1218
MEM 1365.097656 1745134545.2309
MEM 1365.097656 1745134545.3392
MEM 1365.097656 1745134545.4495
MEM 1365.097656 1745134545.5606
MEM 1365.097656 1745134545.6706
MEM 1365.097656 1745134545.7770
MEM 1365.097656 1745134545.8843
MEM 1365.097656 1745134545.9935
MEM 1365.097656 1745134546.1040
MEM 1365.097656 1745134546.2152
MEM 1365.097656 1745134546.3239
MEM 1365.097656 1745134546.4343
MEM 1365.097656 1745134546.5458
MEM 1365.097656 1745134546.6532
MEM 1365.097656 1745134546.7617
MEM 1365.097656 1745134546.8716
MEM 1365.097656 1745134546.9829
MEM 1365.097656 1745134547.0912
MEM 1365.097656 1745134547.1996
MEM 1365.097656 1745134547.3086
MEM 1365.097656 1745134547.4172
MEM 1365.097656 1745134547.5262
MEM 1365.097656 1745134547.6345
MEM 1365.097656 1745134547.7450
MEM 1365.097656 1745134547.8514
MEM 1365.097656 1745134547.9620
MEM 1365.097656 1745134548.0710
MEM 1365.097656 1745134548.1798
MEM 1365.097656 1745134548.2911
MEM 1365.097656 1745134548.4016
MEM 1365.097656 1745134548.5110
MEM 1365.097656 1745134548.6206
MEM 1365.660156 1745134548.7276
MEM 1365.660156 1745134548.8352
MEM 1365.660156 1745134548.9447
MEM 1365.660156 1745134549.0542
MEM 1365.660156 1745134549.1612
MEM 1365.667969 1745134549.2689
MEM 1364.843750 1745134549.3770
MEM 1355.101562 1745134549.4871
MEM 1317.367188 1745134549.6116
MEM 1280.503906 1745134549.7279
MEM 68.175781 1745134549.8393
